Street,Date_Issued
1 ST STREET,3
1 ST SVE,1
1 STARE,1
1 STAVE,3
1 STREET,16
1 SY AVENUE,2
1 T 41 6 1 12 1 4,1
1 TH ST,1
1 TS AVE,1
1 WALL ST COURT,1
1 WEBSTER AVE,1
1 WEST CHESTERN AVE,1
1-07 ST,1
1-37 VANHAM ST,1
1-W 3ST,1
1/0 MARTENSE,1
1/2 BERGEN ST,1
1/2 GREENWICH ST,1
1/2 PIER ST,1
1/2 TUDER CITY PL,1
1/2 TUDOR CITY PL,2
1/2 W 45 ST,1
1/F/O 40 WATERSIDE P,1
1/O 193,2
1/O 303-305,1
10,1
10   N/O  W 39 ST,1
10  31 DRIVE,1
10  AVE,1
10  C/O E 167 ST,1
10  C/O LOGAN,1
10  E 172 STREET,1
10  E/O BWAY,1
10  E/O E 134TH ST,1
10  E/O LONGFELLOW,1
10  E/O TRINITY PL,1
10  F/O 1840 52 ST,10
10  FROM MARKETFIELD,1
10  N/E 87,1
10  N/E C/O PINE,1
10  N/O 30TH ST,2
10  N/O 35 AVE,1
10  N/O 36 AVE,2
10  N/O 73,1
10  N/O 73 AVE,1
10  N/O LINCOLN,1
10  N/O MURRAY ST,11
10  N/O W 130TH ST,1
10  N/O WALL ST,2
10  N/W C/O WYTHE AV,1
10  N/W CRN 10 AVE,1
10  NORTH CLARENDON,1
10  S W 141ST,1
10  S/E C/O CHESTNUT,1
10  S/E C/O CLOVERDA,1
10  S/O E 48 ST,2
10  S/W C/O LAKE ST,1
10  S/W C/O NORMAN A,1
10  THIERIOT AVE,1
10  W 130 STREET,1
10  W/O E 77 ST,1
10  W/O NEW YORK AVE,1
10 47 ST,1
10 AE,1
10 AV,23
10 AV E,1
10 AVE,780
10 AVE.,2
10 AVENUE,93
10 C/O 92 ST,1
10 C/O E 17TH,1
10 COURT ST,1
10 CROCHERAN AVE,1
10 CROCHERONAVE,1
10 E/BN/W/COVANCORTL,1
10 EVELYN PL,1
10 FEET EAST OF AMST,1
10 FEET FROM MORRIS,1
10 FEET FROM S/O C/O,1
10 FEET N/O BAY RIDG,1
10 FEET OF S/W C/O,1
10 FEET W/B FROM,1
10 FT 50 & S/W C/O,1
10 FT C/O E 9TH,1
10 FT C/O RICHMOND A,1
10 FT E OF 78 ST,0
10 FT E OF N/E C/O,1
10 FT E/O 5TH AVE,2
10 FT E/OF E 72 ST,1
10 FT FROM N/E C/O S,1
10 FT FROM N/W C/O,1
10 FT FROM NW/CO E 2,2
10 FT N 49 ST,1
10 FT N/O E 64 ST,1
10 FT N/O E 75 ST,1
10 FT N/O OF ALBANY,2
10 FT NE 68 ST,1
10 FT S/O S/W C/O,1
10 FT SOUTH LINDEN B,1
10 FT W OF S/W C/O,0
10 LN,1
10 NORTHEN BLVD,1
10 RD,1
10 SOUTH OF 72ND RD,1
10 ST,190
10 STREET,19
10 TH AVE,5
10 TH AVENUE,0
10 UNION TPKE,1
10 UNION TURNPIKE,0
10 W/O BLDG 123 WARD,1
100  127 AVE,1
100  133 AVE,1
100  134 AVE,1
100  5TH AVENUE,1
100  C/N OF BOERUM,1
100  C/N OF CADMAN,2
100  C/O 235,1
100  C/O DOVER,2
100  C/O JACKSON AVE,1
100  E FROM E 164 ST,1
100  E/FROM E 164,1
100  E/O 1 AVE,3
100  E/O 153 ST,1
100  FEET C/O GRANT,1
100  FROM SEXTON PL,1
100  INDEPENDENCE,1
100  N C/O W 164 ST,1
100  N/E C/O 57 ST,1
100  N/E C/O AUSTIN,1
100  N/E C/O HOLLAND,1
100  N/E C/O ST NICH,1
100  N/E C/O WEST ST,1
100  N/O 130 AVE,1
100  N/O 2335 MORRIS,1
100  N/O 70 AVE,1
100  N/O CARROLL ST,2
100  N/O GARRISON,1
100  N/O I/O AMSTERD,1
100  N/O N/W C/O 88S,1
100  N/O W 169 ST,1
100  N/W C/O WHITEPL,1
100  N/W CO. 125TH,1
100  N/W CO. MARON P,2
100  N/W MARAN PL,2
100  OF MCDONALD AVE,0
100  S C/O BROOKLYN,1
100  S/B C/O 21 ST A,0
100  S/B OF 21ST AVE,1
100  S/E C/O 124TH,1
100  S/E C/O CORTELY,1
100  S/E C/O SOUTH S,1
100  S/E C/O UNION S,1
100  S/E C/O W 10 ST,1
100  S/S105 35,0
100  S/W ARCHER,1
100  S/W C/O CARROLL,2
100  S/W1665 RANDALL,1
100  SOUTH E 170 ST,1
100  ST,1
100  W/O 127-02 ATLA,2
100  W/O RYER AVENUE,1
100 01,1
100 AVE,17
100 AVENUE,2
100 BRUNETT ST,1
100 DRIVE,1
100 E/B ATLANTIC AVE,2
100 F N/O 40334 FURM,1
100 FEEET FROM,1
100 FEET C/O OF CADM,1
100 FEET FROM ALLEN,1
100 FEET FROM N W 12,2
100 FEET FROM N/E C/,1
100 FEET SCHERMERHOR,1
100 FEET SOUTH,1
100 FEET SOUTH 110 A,1
100 FEET WEST OF 8TH,0
100 FROM 319 W,1
100 FROM OCEAN AVE,1
100 FT,2
100 FT 66 ST,1
100 FT C/O GRANT AVE,1
100 FT C/OF GRANT AV,1
100 FT EAST OF 2 AVE,1
100 FT FROM  RE S/W,1
100 FT FROM 127,1
100 FT FROM 130 AVE,1
100 FT FROM 411,1
100 FT FROM C/O CARR,1
100 FT N/E S/O 68 AV,1
100 FT NORTH OF 1259,1
100 FT NORTH OF 1314,1
100 FT NORTH ON W 17,1
100 FT PIKE,1
100 FT S OF NE CO DE,1
100 FT S/E C/O HORAC,1
100 FT S/O 113 ST,1
100 FT SOUTH 172,1
100 FT W/B VANSICLEN,1
100 FT W/O 31 ST,1
100 FT W/O 66TH ST,2
100 FT WEST 66 ST,1
100 FT WEST OF 65,1
100 FT WEST OF 8TH A,0
100 FT. N 136S T,1
100 I/D NORRH FROM,1
100 LUTEN AVE,1
100 N/W 62 ST,2
100 NORTH OF OXFORD,1
100 OF 30 DR,1
100 S,2
100 S/E C/O OF ALBAN,1
100 S/O W 134 ST,1
100 SOUTH FROM 130,1
100 SOUTH OF 127 AVE,1
100 ST,423
100 ST 00FT,1
100 ST 10FT,1
100 ST.,3
100 STREET,34
100 SW OF SANDALWOOD,1
100 W/O PARSONS BLVD,1
100 W/P ARCHER AVE,1
100 WEST  MASH PKWY,1
100 WEST MOSHOLU PKW,1
100 WEST OF OCEAN PA,1
100 YARDS S/B C/O 21,0
100 YDS W OF S/W C/O,2
100 YRDS S/O 127 AVE,2
1000 BLOCK OF,1
1000 FT 2077 CEDAR A,1
1000 FT FROM RIVERSI,1
1000 FT S/EC/O CEDAR,1
1000 FT SOUTH OF 60,2
1000FT NORTH OF 1320,2
100FT,1
100FT 32 HERBERT ST,1
100FT 973 DECATUR ST,1
100FT C/N OF CATHERI,1
100FT C/O BEDFORD,2
100FT C/O ROSEWOOD,2
100FT C/O WILLIAMSBU,2
100FT CODMAN PLAZA,1
100FT E OF E 71 ST,1
100FT E/O 5820 BAY,1
100FT E/O 5820 BAY P,1
100FT E/O NARRUS,1
100FT EAST 153 RD ST,1
100FT EAST 764,1
100FT EAST OF 59TH S,1
100FT FROM C/O W 136,1
100FT FROM CORNER OF,1
100FT FROM MCDONALD,0
100FT FROM N/W C/O,1
100FT FROM N/W CORNE,1
100FT FROM S/W,1
100FT FROM SWC/O,1
100FT FROM W 70,1
100FT FROMT 11 PRESC,1
100FT I/O 59 ST,1
100FT N/E C/O 163 ST,1
100FT N/E C/O 57 ST,1
100FT N/O 130 AVE,2
100FT N/O 42 ST,1
100FT N/O 46ST,1
100FT N/O EMPIRE BLV,1
100FT N/O W/S,0
100FT N/S FT WASHING,1
100FT NAVY,1
100FT NORTH AT8TH,0
100FT NORTH EMPIRE B,2
100FT NORTH INDEPEND,1
100FT NORTH OF 25 AV,1
100FT NORTH OF 34TH,1
100FT NORTH OF CANAL,1
100FT NORTH OF W 168,2
100FT NORTHOF 34 AVE,1
100FT ON S/W C/O W 2,1
100FT S/B C/O E.55 S,1
100FT S/B W 163 ST,1
100FT S/B W163 ST,2
100FT S/E ARTHUR AVE,1
100FT S/E C/O WILLIA,2
100FT S/E CONR WILLA,1
100FT S/E WILLIAMS B,1
100FT S/O 54 ST,1
100FT S/O EASTERN PK,1
100FT S/O EYLANDT ST,1
100FT SOUTH AVE Z,1
100FT SOUTH S/W C/O,1
100FT SW 1665,1
100FT W OF BARCLAY,1
100FT W/OS/W 21 ST,1
100FT W190ST,1
100FT WEST OF 158TH,1
100FT WEST OF BAY PK,1
100FT WEST OF MCDONA,2
100ST,7
100ST ST,1
100TH AVE,1
100TH ST,28
100TH STREET,12
100th Ave,278
100th Dr,30
100th Rd,3
100th St,2269
101,1
101  AVE,3
101 AE,1
101 AV,11
101 AVE,398
101 AVE OF AMERICAS,1
101 AVENUE,43
101 E. 165 STREET,1
101 RD,4
101 ST,297
101 ST AVENUE,1
101 ST STREET,1
101 STREET,38
1017 E 92 ST,1
1018 BELMONT,1
101AVE,8
101ST,3
101ST AV,1
101ST AVE,5
101ST ST,8
101ST STREET,1
101TH AVE,1
101st Ave,7542
101st Rd,11
101st St,2032
102,6
102  ST,1
102 9 AVE,1
102 AV,1
102 AVE,42
102 ND STREET,1
102 RD,11
102 ROAD,1
102 S,2
102 ST,452
102 ST BRIDGE,1
102 STR,2
102 STREET,51
102 TH ST,1
1020 VINTHROP ST.,1
10232KIK 827M2 E2,1
1025 ST,1
102ND ST,5
102ND STREET,6
102ST,2
102ST BRIDGE,2
102TH ST,1
102nd Ave,400
102nd Rd,101
102nd St,4290
103,3
103  AVE,1
103 AV,3
103 AVE,125
103 AVENUE,6
103 DR,2
103 DRIVE,1
103 HJWI WJ,1
103 I RMTI ISMDI HJ,1
103 RD,8
103 RD ST,2
103 RD STREET,1
103 ROAD,1
103 ST,299
103 STERET,1
103 STREET,50
103 STREETY,1
103RD,2
103RD AVE,2
103RD RD,1
103RD ST,14
103RD STREET,6
103ST,3
103rd Ave,912
103rd Dr,4
103rd Rd,82
103rd St,5090
104,2
104 AV,1
104 AVE,30
104 AVENUE,2
104 RD,2
104 S,1
104 SL,1
104 SRT,1
104 ST,351
104 ST 20FT,1
104 STREET,25
104-64,2
1040,1
1044 AVE,2
104A,1
104AVE,1
104ST,10
104TH AVE,4
104TH ST,14
104TH STREET,7
104th Ave,465
104th Rd,22
104th St,4040
105,5
105 AV,1
105 AVE,36
105 AVE3,1
105 ESSEX ST,1
105 FT W/O B WAY,1
105 PL,1
105 ST,139
105 STREET,42
1056 VINTHROP ST,1
105FT S OF S/E C/O,2
105ST,2
105TH ST,7
105th Ave,445
105th Pl,8
105th St,1171
106,2
106 AT,1
106 AVE,32
106 LN,1
106 RD,5
106 ST,154
106 STREET,25
106 TH RD,1
106-20 SHORE FRONT,1
1060FT NORTH OF 1320,1
10615 BANKS ST,1
106TH AVE,2
106TH ST,10
106TH STREET,1
106th Ave,340
106th Rd,57
106th St,1134
107,2
107  AVE,2
107 AV,6
107 AVE,166
107 AVENUE,19
107 RD,1
107 SGT,1
107 ST,210
107 ST&,1
107 ST.,2
107 STREET,20
1071 6AVE,0
10785,1
107AVE,4
107ST,2
107TH AVE,8
107TH ST,4
107TH STREET,1
107th Ave,1321
107th Rd,12
107th St,1315
108,6
108  ST,2
108 AV,1
108 AVE,34
108 AVENUE,2
108 CHIIINV AR N,1
108 DR,2
108 NJIYSR,1
108 RD,2
108 ST,1135
108 ST 7FT,2
108 ST.,2
108 STR,2
108 STREET,235
108 T,1
108 TH ST,2
1082 WSIIXNT 57,1
1085 ST,1
108ST,9
108ST 8FT N/O,1
108TH  ST,2
108TH AVE,1
108TH ST,18
108TH STREET,7
108th Ave,443
108th Dr,70
108th Rd,18
108th St,8579
109,4
109 AV,3
109 AVE,137
109 AVENUE,13
109 DR,4
109 RD,11
109 ST,159
109 STR,1
109 STREET,18
109 SY,1
109-60 112 ST,1
109AVE,3
109ST,1
109TH AVE,3
109TH ST,13
109th Ave,921
109th Dr,60
109th Rd,165
109th St,1382
10AV,4
10AVE,25
10D,1
10FT  COURT,1
10FT  S/E C/O HAMILT,1
10FT 1459 GREENE AVE,1
10FT 30FT OF TILDEN,1
10FT C/O 23ST,1
10FT C/O 2ND AVE,1
10FT C/O DEKALB,1
10FT C/O DEKALB AV,1
10FT C/O DEKALB AVE,1
10FT C/O GOLD,1
10FT C/O RESERVOIR,1
10FT CORNER PARK,1
10FT E OF N/E C/O 17,1
10FT E OPPS S/E C/O,1
10FT EAST OF E 32 ST,1
10FT EAST OF KINGS H,1
10FT FROM  BEAVER ST,1
10FT FROM 123,1
10FT FROM ADAMS ST,1
10FT FROM C/O N/B DO,1
10FT FROM CORNER,1
10FT FROM N/B CORNER,1
10FT FROM N/W C/O 59,1
10FT FROM S/E C/O,1
10FT FROM S/W C/O,1
10FT GOLD ST,1
10FT JUNCTION BLVD,2
10FT N/E 78 ST,11
10FT N/E C/O 88 ST,1
10FT N/E C/O 93 ST,1
10FT N/E C/O MENAHAN,1
10FT N/E MAD ST,1
10FT N/O N/E CORNER,1
10FT N/O TILDEN AVE,1
10FT N/O W 10 TH ST,1
10FT N/O W KINGSBRID,2
10FT NORTH OF E.14,1
10FT NORTH OF N/E C/,1
10FT NORTH OF N/E/C/,1
10FT OF WEST 28,1
10FT OFF E 18TH,1
10FT OFF SHORE PKWY,1
10FT S/B VERMONT ST,1
10FT S/N OF E 135 ST,1
10FT S/O E HOUSTON S,1
10FT S/O FARRAGUT RD,1
10FT S/W OF E 135 ST,1
10FT SCHERMERHORN,2
10FT SOUTH FARRAGUT,1
10FT SOUTH FROM N/W,1
10FT SOUTH OF AVE B,1
10FT SOUTH OF RECTOR,1
10FT SOUTH S/W C/O E,1
10FT W OF S/W C/O,2
10FT W/O 127,2
10FT W/O 5 AVE,1
10FT W/O FREDERICK,1
10FT W/O PIKE SLIP,1
10FT W/O W 65,2
10FT W/O WHITNEY AVE,1
10FT WEST 26ST,1
10FT WEST OF 12 AVE,1
10FT WYTHE,11
10FTN/O TILDEN AVE,1
10RD,1
10ST,1
10ST AVE,1
10TH,11
10TH  AVE,1
10TH  ST,2
10TH A VE,1
10TH AE,3
10TH AV,16
10TH AVE,1181
10TH AVE (N/B) @ WES,152
10TH AVENEU,1
10TH AVENUE,191
10TH AVER,2
10TH LITTLE WEST 12,1
10TH ST,133
10TH STR,2
10TH STREET,19
10THAVE,1
10THS T,1
10th Ave,20468
10th Rd,2
10th St,4134
11,1
11 0 0 C/C RK SDR AV,1
11 44 FI 41 58,1
11 89AV,1
11 ALTSYINE AVE,1
11 AV,18
11 AVE,575
11 AVE.,1
11 AVENUE,71
11 E,1
11 HILLSIDE,1
11 MERRICK BLVD,1
11 RICJ MIDNISN N,1
11 ST,177
11 ST AVE,1
11 ST ST,1
11 STREET,15
11 TH AV,1
11 TH AVE,17
11 TH AVENUE,12
11- AVENUE,1
11-13,1
110  S/E C/O BEACH S,1
110  ST,1
110 AVE,103
110 AVENUE,8
110 AVUNUE,1
110 RD,5
110 ROAD,3
110 ST,211
110 ST 5FT,2
110 ST 6 FT,2
110 ST 8FT,1
110 STR,1
110 STREET,36
110 TH STREET,1
1109 AVE,1
110ST,3
110ST 5 FT,1
110ST 7FT,1
110TH AVE,4
110TH RD,2
110TH ST,9
110TH STREET,1
110YA UNND MVE,1
110YJ AVE,1
110th Ave,773
110th Rd,135
110th St,2462
111,1
111  AVE,1
111  STREET,1
111 AV,6
111 AVE,195
111 AVENUE,11
111 BRIDGE ST,1
111 RD,17
111 ROAD,2
111 ST,337
111 ST  FLUSHING MEA,1
111 ST & 55 AVE,1
111 ST AND 55 AVE,2
111 ST FLUSHING MEAD,2
111 ST FMP,1
111 ST PARK,2
111 ST.,1
111 STREET,73
111 STREET  55 AVE,2
111 STREET PARKING L,2
111/2 WEST 84TH ST,1
1110 ST,1
1110 STADIUM AVE,1
11111 1 HOVER82,1
11115 MLRIHVIILI IT,1
1116 MC H,1
111S6YDKKCNHDTY,1
111ST,2
111TH,1
111TH AVE,5
111TH ST,12
111TH STREET,1
111st St,360
111th Ave,779
111th Rd,94
111th St,1311
112,1
112 1 1 YRCSLZCW,1
112 AE,1
112 AV,9
112 AVE,88
112 AVE SPRINGFIELD,1
112 PL,3
112 RD,22
112 ST,205
112 ST 5FT,2
112 STR,1
112 STREET,26
11227 NA2VMD AVS,1
1124 6FT,1
1125 AM,1
1127 5 5EALM1AE,1
11275,2
11285158,1
112AVE,1
112ST,3
112TH R,1
112TH ST,4
112TH STREET,1
112th Ave,286
112th Pl,91
112th Rd,158
112th St,2349
113,1
113 A,1
113 AVE,89
113 AVE  209-210 ST,1
113 AVENUE,3
113 DR,10
113 DRIVE,4
113 DYCKMNN,1
113 PL,1
113 RD,14
113 ROAD,1
113 ST,141
113 ST 200FT,1
113 STR,8
113 STREET,30
113AVE,1
113TH 2ND AVE,0
113TH ST,7
113TH STREET,1
113th Ave,234
113th Dr,58
113th Rd,50
113th St,1867
114,2
114 AVE,21
114 COZINE AVE,1
114 DR,3
114 DRIVE,1
114 PL,26
114 PLACE,1
114 PLC,1
114 PLC.,1
114 RD,34
114 ROAD,7
114 S,1
114 SPRINGFILED,1
114 ST,116
114 STREET,27
114 TERR,1
114 W,1
114-119 ST,2
114-36,1
1141 AVE,1
114TH PL,1
114TH RD,3
114TH ST,3
114th Ave,108
114th Dr,81
114th Pl,107
114th Rd,174
114th St,1823
114th Ter,6
115,1
115 AV,3
115 AVE,104
115 AVENUE,7
115 AVER,0
115 DR,17
115 DRIVE,2
115 PL,1
115 RD,26
115 ROAD,3
115 ST,78
115 ST.,2
115 STREET,16
115 WEST,1
115-19,1
1155 AVE,2
115ST,1
115TH AVE,6
115TH AVENUE,1
115TH RD,1
115TH ST,2
115TH STREET,5
115th Ave,482
115th Ct,18
115th Dr,98
115th Rd,183
115th St,1862
115th Ter,13
116  STREET,1
116 AE,1
116 AV,3
116 AVE,135
116 AVE AND,2
116 AVENUE,20
116 DR,8
116 DRIVE,7
116 DRIVE3,1
116 E,2
116 RD,32
116 RD AND195 ST,1
116 ROAD,4
116 ST,168
116 ST.,2
116 STREET,24
116ST,3
116TH,2
116TH AVE,8
116TH DRIVE,2
116TH RD,3
116TH ST,8
116TH STREET,3
116th Ave,459
116th Dr,75
116th Rd,100
116th St,2306
117,1
117 AVE,1
117 EAST 167 STREET,1
117 RD,12
117 ROAD,1
117 ST,140
117 ST.,1
117 STREET,23
117-14 STREET,1
11712 MIIPRS 55,1
117A,1
117ST,1
117TH AVE,1
117TH ST,5
117th Rd,81
117th St,1805
118,1
118  AVE,1
118  ST,1
118 AVE,44
118 AVENUE,2
118 RD,27
118 ROAD,1
118 SR,1
118 ST,175
118 ST.,2
118 STREET,37
118ST,1
118TH,1
118TH AVE,3
118TH ST,4
118TH STREET,3
118th Ave,245
118th Rd,171
118th St,2672
119  STREET,1
119 AVE,78
119 AVENUE,3
119 DR,5
119 DRIVE,1
119 RD,38
119 ROAD,4
119 ST,26
119 STREET,2
1196 VANNEST AVE,1
119RD,1
119TH,1
119TH AVE,1
119TH RD,2
119TH ST,2
119th Ave,262
119th Dr,33
119th Rd,142
119th St,226
11AV,5
11AVE,31
11E 22 ST,2
11ST,1
11ST AVE,3
11ST AVENUE,1
11ST ST,1
11ST STREET,1
11TH,4
11TH  ST,1
11TH AE,2
11TH AV,18
11TH AVE,499
11TH AVE BTWN 25TH,1
11TH AVE NY NY,0
11TH AVENUE,94
11TH SSTREET,1
11TH ST,95
11TH STREET,44
11THS T,1
11TIMES SQUARE,1
11st St,26
11th Ave,12988
11th Rd,48
11th St,4885
12,2
12 AV,13
12 AVE,322
12 AVE N/B,1
12 AVE.,2
12 AVENUE,25
12 EAST 125TH ST,1
12 FT W/O I/O 67,1
12 RD,15
12 ROAD,1
12 S,1
12 S.D,1
12 ST,224
12 STREET,22
120,1
120  ST,1
120  STUYVESANT AVE,1
120 AVE,58
120 AVENUE,6
120 EAST,1
120 RD,5
120 ST,167
120 ST.,1
120 STR,1
120 STREET,33
120 TH ST,2
120-04,1
120ST,1
120TH AVE,3
120TH RD,1
120TH ST,24
120TH STREET,1
120th Ave,418
120th Rd,34
120th St,2295
121,1
121 AVE,12
121 ST,152
121 STREET,32
121 STREET 100,1
121 W 126 ST,1
1210 TL RIHIS7I,1
1212 ST,1
1213 AV,1
121ST STREET,4
121st Ave,168
121st St,2043
122 AE,1
122 AV,1
122 AVE,37
122 AVENUE,2
122 PL,12
122 PLACE,1
122 ST,75
122 STREET,19
1222 YRESIDENZ 57T,1
1225,1
1229,1
122ND,1
122ND  ST,1
122ND AVENUE,1
122ND ST,1
122ND STREET,3
122nd Ave,168
122nd Pl,102
122nd St,940
123,1
123 AVE,26
123 AVE AND 141 ST,1
123 AVENUE,1
123 ND ST,2
123 RD ST,1
123 RD STREET,2
123 ST,156
123 ST.,1
123 STR,2
123 STREET,40
123RD ST,6
123RD STREET,1
123rd Ave,97
123rd St,1604
124,2
124 AV,1
124 AVENUE,1
124 PL,2
124 ST,176
124 ST.,9
124 ST3,1
124 STREET,22
124 STY,1
1244 SR DHNR PLC,1
124ST,2
124TH PL,3
124TH ST,20
124TH STREET,3
124th Ave,10
124th Pl,74
124th St,1857
125,4
125  AVE,1
125 AV,2
125 AVE,47
125 AVENUE,1
125 ST,235
125 ST HARLEM STATIO,1
125 ST.,3
125 STR,5
125 STREET,33
125 TH ST,1
125 WEST,1
1259,0
125FT S/E CORNER,2
125FT S/E WILLIAMBUR,1
125FT S/E WILLIAMS B,1
125FT S/E WILLIAMS S,1
125ST,2
125TH,0
125TH AVE,1
125TH ST,18
125TH STREET,5
125th Ave,58
125th St,1269
126,2
126 A,1
126 AVE,12
126 PL,3
126 S,1
126 ST,267
126 ST & 151 AVE,1
126 STREET,24
126 TH ST,4
1267TH ST,1
126ST,1
126TH,1
126TH ST,26
126TH ST S/W BTW,1
126th Ave,49
126th Pl,66
126th St,1502
127,4
127 AV,1
127 AVE,28
127 AVE 60FEET,1
127 PALCE,1
127 PL,10
127 ST,264
127 STREET,26
127 WEST,1
127-02,1
127ST,1
127TH,3
127TH AVE,2
127TH LEXINGTON,2
127TH ST,14
127TH STREET,1
127th Ave,647
127th Pl,70
127th St,1494
128 AVE,20
128 EAST ST,2
128 RD,2
128 ST,81
128 ST.,3
128 STREET,12
128ST,1
128TH AVE,1
128TH ST,5
128th Ave,108
128th Dr,5
128th Rd,8
128th St,764
129,1
129 AVE,28
129 RD,1
129 ST,155
129 ST.,1
129 STREET,24
129AVE,1
129TH,1
129TH EAST,1
129TH ST,6
129th Ave,153
129th Rd,5
129th St,990
12AVE,8
12AVE 134,2
12ST,3
12TH,2
12TH AE,2
12TH AV,2
12TH AVE,207
12TH AVE  W134,1
12TH AVE (N/B) @ 42N,272
12TH AVE (N/B) @ W 5,1651
12TH AVE (S/B) @ 23R,201
12TH AVE (S/B) @ 34T,1397
12TH AVE W 134,1
12TH AVENUE,33
12TH AVENUE 50FT,1
12TH RD,2
12TH SRT,1
12TH ST,130
12TH STR,2
12TH STREET,23
12nd Ave,12
12th Ave,6192
12th Rd,740
12th St,4124
13,1
13  AVE,3
13 2,1
13 2 81 MMKS 8L,1
13 AE,3
13 AFE,1
13 AV,7
13 AVE,958
13 AVE3,1
13 AVENUE,145
13 AVENUIE,1
13 AVER,1
13 ROAD,1
13 ST,197
13 ST.,3
13 STREET,17
13 TH AVE,4
13 TH ST,2
13 TH STREET,13
13 VAVE,1
130,1
130  WASHINGTON AVE,1
130 AVE,110
130 AVEBNUE 75 FT E/,1
130 AVENUE,8
130 AVENUE S/W C/O,0
130 COURT STREET,1
130 DR,1
130 PL,3
130 PL. 350FT,1
130 PLACE,3
130 RD,5
130 S,1
130 ST,411
130 STQ,1
130 STREET,81
130 STREET AND 5 AVE,1
130FT S/E WILLIAMSBU,1
130ST,1
130TH AVE,5
130TH AVENUE,1
130TH ROAD,1
130TH ST,26
130TH STREET,3
130th Ave,1558
130th Dr,5
130th Pl,35
130th Rd,17
130th St,1462
131,4
131 AVE,41
131 AVENUE,1
131 ST,150
131 STREET,41
131 T,1
131 WEST,1
131-64,1
1310 CENTML AVE,1
1311 7 181 V,1
1313 CLINTON AVE,1
1315 BENEDICT AVE,2
131AVE,1
131ST,2
131ST AVE,2
131ST ST,1
131T TBOYLAND ST,1
131st Ave,185
131st Rd,5
131st St,1318
132,2
132 AVE,69
132 AVE 10,1
132 AVENUE,16
132 RD,6
132 ST,98
132 STREET,16
1325 MYRRE AVE,1
132ND,2
132ND 10FT,1
132ND 50FT,1
132ND AVE,1
132ND ST,19
132ND ST 100FT,1
132ND ST 10FT,0
132ND ST 15,1
132ND ST 20 FT,0
132ND ST 25 FT,1
132ND ST 40FT,12
132ND ST 50FT,1
132ND ST 5FT,1
132ND STREET,1
132ST 15PT,1
132nd Ave,214
132nd Rd,81
132nd St,842
133 AVE,100
133 AVE 50 FT,1
133 AVENUE,14
133 PL,4
133 POST AVE,1
133 RD,12
133 ST,85
133 STR,2
133 STREET,11
1330,1
1330 EBSTER AVE,1
1339 3H2A47,1
133AVE,1
133RD ST RFK,1
133RD ST RFK WALKWAY,1
133rd Ave,1038
133rd Dr,1
133rd Pl,26
133rd Rd,85
133rd St,926
134  AVENUE,1
134 AVE,68
134 AVENUE,9
134 RD,28
134 RD 100FT,1
134 RD 30 FT,1
134 ROAD,1
134 ROAD 50FT,1
134 ST,116
134 STR,1
134 STREET,14
1340,1
134ST,1
134ST VIADUCT,1
134TH,1
134TH ST,3
